Source file,Source sheet,Source row (Excel),Funding economy,Year,economy_code,Recipient country or region,"Title of the project programme, activity or other",Value (USD),Value (USD) notes,Status,Channel,Funding source,Financial instrument,Type of support,Sector,Subsector,Contribution to capacity building objectives,Contribution to technology development and transfer objectives,Additional information,Sector_text1,Sector_text2,Sector_text3,Sector_text4,Sector_text5,Subsector_text1,Subsector_text2,Subsector_text3,Subsector_text4,Subsector_text5
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,1014,JAPAN,2022,JPN,Ethiopia,The Project for Development and Operation Model of Plant-derived Soil Additives for Road Disaster Reduction on Problematic Soil_02,148271.2323,,Committed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,Yes,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,4470,JAPAN,2022,JPN,Zimbabwe,Preparatory Survey for the Project for the Road Improvement of the Northern Part of the North-South Corridor (Phase 2),149905.5759,,Committed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
05. Annex III - Support CTFs (3) AUSTRALIA.xlsx,Table1_2022,146,AUSTRALIA,2022,AUS,Nauru,Nauru airport preparatory works,155396.3421,,Disbursed,Bilateral,ODA,Grant,Cross-cutting,Transport,21050,,,,Transport,,,,,Air transport,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,2405,JAPAN,2021,JPN,Philippines,Data Collection Survey on improvement of public transport system in Metro Manila,156413.4337,,Disbursed,Bilateral,ODA,Grant,Cross-cutting,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,1373,JAPAN,2022,JPN,India,The Project for Capacity Development for Maintenance of Resilient Mountainous Highways,157191.8757,,Committed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,2745,JAPAN,2022,JPN,Myanmar,Detailed Design Survey for Yangon-Mandalay Railway Improvement Project Phase I (New Bridges),157389.162,,Disbursed,Bilateral,ODA,Grant,Mitigation,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,4102,JAPAN,2022,JPN,Tuvalu,The Project for Installation of Workboats to Nivanga III and Manufolau,157428.286,,Committed,Bilateral,ODA,Grant,Cross-cutting,Transport,,No,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,861,JAPAN,2021,JPN,Guinea,The Project for Reconstruction of Faranah Bridge on National Route No.2,157689.0136,,Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,1844,JAPAN,2021,JPN,Multi-regional assistance,Road Asset Management(A),159296.2443,,Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,4013,JAPAN,2022,JPN,Togo,Preparatory Survey on the project for construction of bypss road at Sokode,159891.2106,,Committed,Bilateral,ODA,Grant,Cross-cutting,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,3837,JAPAN,2022,JPN,Tanzania,Project for Transit Oriented Development (TOD) for Dar es Salaam_01,161365.5506,,Committed,Bilateral,ODA,Grant,Mitigation,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,3420,JAPAN,2022,JPN,Rwanda,Project for Urban Mobility Improvement in Kigali_02,165738.6575,,Committed,Bilateral,ODA,Grant,Cross-cutting,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,475,JAPAN,2022,JPN,Cambodia,Data Collection Survey on Rural Road Connectivity Improvement,167034.0406,,Committed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,2608,JAPAN,2021,JPN,Solomon Islands,Project for Formulating Renewable Energy Road Map,167569.7469,,Disbursed,Bilateral,ODA,Grant,Adaptation,Energy ,,Yes,No,,Energy,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,2468,JAPAN,2021,JPN,Rwanda,Establishment of the system for the rural poverty alleviation and autonomous development in Rwanda.,167747.1436,,Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,No,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,2238,JAPAN,2021,JPN,Panama,Data Collection Survey on Transit Oriented Development (TOD) in Panama Metropolitan Area Urban Transportation Line-3,170927.7111,,Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,1843,JAPAN,2022,JPN,Laos,The Project for Technical Support on Continuous Improvement of Vientiane International Airport,171081.8751,,Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,3240,JAPAN,2022,JPN,Peru,SDGs Business Verification Survey with the Private Sector for Data Utilizing Analysis Technology for Integrated Transport System in Peru,171308.6147,,Committed,Bilateral,ODA,Grant,Cross-cutting,Transport,,Yes,Yes,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,2993,JAPAN,2021,JPN,Uganda,Community access road repair using Do-nou technology through utilization of locally available materials and participatory approach by youth (3rd year),171691.4645,,Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,No,No,,Transport,,,,,,,,,
ITA-CTF-FTC-2024-V1.1-20250328-105338_started ITALY.xlsx,Table1_2021,295,ITALY,2021,ITA,State of Palestine,Be the impact: the cooperative system and social entrepreneurship as vehicles for an inclusive and sustainable development,172680.1136,,Committed,Bilateral,ODA,Grant,Cross-cutting,Other (Finance),,UA,UA,"The initiative aims at strengthening the Palestinian cooperative system and promoting social entrepreneurship in the country. The ultimate objective is to contribute to pave the way for a more inclusive and sustainable economy in Palestine, which combine the market principles with social purposes.",Other (Finance),,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,748,JAPAN,2022,JPN,Democratic Republic of the Congo,Preparatory Survey for the Project for Rehabilitation of the Matadi Bridge with Its Approach Road,174015.0333,,Committed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,1370,JAPAN,2022,JPN,India,"The Project for Smart Cities for Emerging Countries based on Sensing, Network and Big Data Analysis of Multimodal Regional Transport System",174483.068,,Disbursed,Bilateral,ODA,Grant,Cross-cutting,Energy ,,Yes,Yes,Exchange rate is determined based on the date of committement,Energy,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,2818,JAPAN,2022,JPN,Nepal,The project for Introduction of Urban Transport Management in Kathmandu Valley,174650.3607,,Committed,Bilateral,ODA,Grant,Cross-cutting,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,459,JAPAN,2022,JPN,Cambodia,Project for Capacity Development on Comprehensive Traffic Management Planning and Traffic Control Center Operation and Maintenance in Phnom Penh Capital City,175010.2527,,Committed,Bilateral,ODA,Grant,Cross-cutting,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,218,JAPAN,2022,JPN,Benin,The Project for the Construction of the Flyover of Vedoko Intersection in Cotonou City (Phase 2),175985.6895,,Committed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,724,JAPAN,2022,JPN,Cuba,Road and Bridge Maintenance,179458.8494,,Committed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
05. Annex III - Support CTFs (3) AUSTRALIA.xlsx,Table1_2021,200,AUSTRALIA,2021,AUS,South-eastern Asia,Partnerships for Infrastructure,181327.5208,,Disbursed,Regional,ODA,Grant,Cross-cutting,"Other (Government and civil society)
Transport","15116
21011",,,,"Other (Government and civil society)
Transport",,,,,15116,21011,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,243,JAPAN,2021,JPN,Bolivia,The Project for the Promotion of Sustainable and Integrated Urban Development with the BRT Plan in Santa Cruz Metropolitan Area_02,183147.2293,,Disbursed,Bilateral,ODA,Grant,Mitigation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,2610,JAPAN,2022,JPN,"Developing countries, unspecified",Data collection survey on Road asset management platform technical support (FY 2020),184114.0759,,Committed,Multi-bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,1386,JAPAN,2021,JPN,Malaysia,Urban Development project through decarbonized transportation using biofuel and Zero Carbon City development project through dissemination of renewable energy,184540.5726,,Disbursed,Bilateral,OOF,Grant,Mitigation,Cross-cutting,,Yes,No,,Cross-cutting,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,1602,JAPAN,2021,JPN,Mozambique,Project for Improvement of Bridge Maintenance and Management Capacity,184858.8662,,Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,3129,JAPAN,2022,JPN,Panama,Data Collection Survey on Transit Oriented Development (TOD) in Panama Metropolitan Area Urban Transportation Line-3,186151.6888,,Committed,Bilateral,ODA,Grant,Cross-cutting,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,3202,JAPAN,2021,JPN,Zimbabwe,Preparatory Survey for the Project for the Road Improvement of the Northern Part of the North-South Corridor (Phase 2),186831.4594,,Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,1675,JAPAN,2022,JPN,Kenya,Project for Capacity Building for Bus Operation Policy and Management in Nairobi Metropolitan Area,187033.5384,,Committed,Bilateral,ODA,Grant,Mitigation,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,142,JAPAN,2022,JPN,Bangladesh,Preparatory Survey on Construction of Dual Gauge Double Line Between Joydebpur-Ishurdi Section Project,187897.1272,,Committed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,652,JAPAN,2021,JPN,El Salvador,"The Project for Capacity Development of the Department of Climate Change Adaptation and Strategic Risk Management for Strengthening of Public Infrastructure, Phase II",188887.4392,,Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,2222,JAPAN,2022,JPN,Multiple countries in Asia,Contribution about Asia EST Regional Forum,190217.7841,,Disbursed,Regional,OOF,Grant,Adaptation,Transport,,No,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,1047,JAPAN,2021,JPN,Indonesia,Expert for Development of Backup Area of the Patimban Port,190756.0636,,Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,985,JAPAN,2021,JPN,Indonesia,Zero Carbon Society Development in Bandung City through Energy Saving and Improvement of Transportation Infrastructure System,193631.2481,,Disbursed,Bilateral,OOF,Grant,Mitigation,Cross-cutting,,Yes,No,,Cross-cutting,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,789,JAPAN,2022,JPN,Djibouti,Preparatory Survey for The Project for the Construction of the Palmeraie Bridge,194448.2277,,Committed,Bilateral,ODA,Grant,Cross-cutting,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,962,JAPAN,2021,JPN,India,Expenses for Priority Sectors/Regions in Rail Transport_01,195106.6932,,Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,540,JAPAN,2021,JPN,Democratic Republic of the Congo,The Project of Improvement of the Port Matadi,196024.7463,,Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,752,JAPAN,2022,JPN,Democratic Republic of the Congo,Project for Capacity Development for the realization of the Urban Transport Master Plan in Kinshasa City /PDTK_02,196171.2204,,Committed,Bilateral,ODA,Grant,Cross-cutting,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,3419,JAPAN,2022,JPN,Rwanda,Project for Urban Mobility Improvement in Kigali_01,196736.1672,,Committed,Bilateral,ODA,Grant,Cross-cutting,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
05. Annex III - Support CTFs (3) AUSTRALIA.xlsx,Table1_2022,251,AUSTRALIA,2022,AUS,Vietnam,Aus4transport,197018.7729,,Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,21011,,,,Transport,,,,,21011,,,,
05. Annex III - Support CTFs (3) AUSTRALIA.xlsx,Table1_2021,115,AUSTRALIA,2021,AUS,Oceania,Maritime Boundaries Support in the Pacific,197978.771,,Disbursed,Regional,ODA,Grant,Adaptation,Other (Government and civil society),15110,,,,Other (Government and civil society),,,,,Public sector policy and administrative management,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,2006,JAPAN,2021,JPN,Nepal,The Project for Operation and Maintenance of the Sindhuli Road (Phase 2),198519.325,,Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
05. Annex III - Support CTFs (3) AUSTRALIA.xlsx,Table1_2021,154,AUSTRALIA,2021,AUS,Papua New Guinea,Papua New Guinea Ports Project,199395.6,,Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,21040,,,,Transport,,,,,Water transport,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,476,JAPAN,2022,JPN,Cambodia,Advisor for Sihanoukville Port Special Economic Zone,202428.8224,,Committed,Bilateral,ODA,Grant,Cross-cutting,Transport,,Yes,No,,Transport,,,,,,,,,
ITA-CTF-FTC-2024-V1.1-20250328-105338_started ITALY.xlsx,Table1_2021,182,ITALY,2021,ITA,Bosnia and Herzegovina,Green Cities Framework 2 Window 2 (GrCFW2) Sarajevo Public Transport e-Mobility – Project Implementation Support,203431.3668,,Committed,Multi-bilateral,ODA,Grant,Cross-cutting,Transport,,Yes,UA,"The Project is part of a broader EBRD Green Cities’ programme which is an initiative that strives to build a better and more sustainable future for cities and their residents. The programme achieves this by identifying, prioritising and connecting cities’ environmental challenges with sustainable infrastructure investments and policy measures. The Project will address key challenges in Sarajevo’s public transport infrastructure by improving access to cleaner urban transport as well as the capacity and efficiency of public transport overall and the cantonal public transport operator Gradski saobraćaj d.o.o. Sarajevo (GRAS) in particular with an estimated 20 million EUR investment from the EBRD.",Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,541,JAPAN,2021,JPN,Democratic Republic of the Congo,Project for Capacity Development for the realization of the Urban Transport Master Plan in Kinshasa City /PDTK_01,203545.5746,,Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,1408,JAPAN,2022,JPN,Indonesia,JABODETABEK Urban Transportation Policy Integration Project Phase 3_01,205184.8993,,Committed,Bilateral,ODA,Grant,Cross-cutting,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,2825,JAPAN,2022,JPN,Nepal,Data Collection Survey on the Sindhuli Road Capacity Enhancement in Nepal,205385.7503,,Committed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,1450,JAPAN,2022,JPN,Indonesia,Project for Strengthening Management Capacity of Toll Road Development,208675.9397,,Committed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,2308,JAPAN,2022,JPN,Mongolia,Data Collection Survey for Transportation Infrastructure Development in Ulaanbaatar Mongolia,212443.3855,,Committed,Bilateral,ODA,Grant,Cross-cutting,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,2411,JAPAN,2021,JPN,Philippines,Experts for Subic Bay Regional Development,214619.4216,,Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,1449,JAPAN,2022,JPN,Indonesia,Project for Technical Cooperation for Improvement of Regency/Municipality Roads Governance_02,215177.439,,Committed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,3029,JAPAN,2021,JPN,Vanuatu,The Project for Provision of Chemical Fire Truck to White-Grass Airport,215458.3432,,Disbursed,Bilateral,ODA,Grant,Adaptation,Other (Disaster risk reduction),Disaster risk reduction,No,No,,Other (Disaster risk reduction),,,,,Disaster risk reduction,,,,
NOR-CTF-FTC-2024 NORWAY.xlsx,Table1_2022,366,NORWAY,2022,NOR,Global,Preventing demand for deforestationcausing biofuels in the aviation and shipping sectors (2021000779),217809.5375,,Disbursed,Regional,ODA,Grant,Mitigation,Other (General environment protection),DAC sector: 41010,,,CRS-ID: 2021000779,Other (General environment protection),,,,,Environmental policy and administrative management,,,,
